Reference, Value, Footprint,URL
C1,10u,Capacitors_SMD:C_0603,
C10,10n,Capacitors_SMD:C_0603,
C2,1u,Capacitors_SMD:C_0603,
C4,1u,Capacitors_SMD:C_0603,
C5,10n,Capacitors_SMD:C_0603,
C6,1u,Capacitors_SMD:C_0603,
C7,1u,Capacitors_SMD:C_0603,
C8,1u,Capacitors_SMD:C_0603,
C9,10n,Capacitors_SMD:C_0603,
D2,RED,LEDs:LED_PLCC-2,http://cz.farnell.com/osram/lr-t67f-u1aa-1/led-smd-plcc2-red/dp/2113954
D3,WHITE,LEDs:LED_PLCC-2,http://cz.farnell.com/broadcom-limited/asmt-uwb1-nx3e2/led-smd-plcc2-neutral-white-4500k/dp/1895842
D4,BAT60AE6327HTSA1,Diodes_SMD:SOD-323,http://cz.farnell.com/infineon/bat-60a-e6327/rectifier-schottky-3a-10v-sod/dp/2432679
D5,BAT60AE6327HTSA1,Diodes_SMD:SOD-323,http://cz.farnell.com/infineon/bat-60a-e6327/rectifier-schottky-3a-10v-sod/dp/2432679
D6,CREE XP-L2,,http://cz.mouser.com/ProductDetail/Cree-Inc/XPLBWT-00-0000-000HV340G/?qs=%2fha2pyFaduhJ6CAyu4gO2PrhOyBgDGH1kuAfYVgrSki237%2faDrLrm1vEZEwe8kmCwVQ0BCtRArw%3d
D7,CREE XP-L2,,http://cz.mouser.com/ProductDetail/Cree-Inc/XPLBWT-00-0000-000HV340G/?qs=%2fha2pyFaduhJ6CAyu4gO2PrhOyBgDGH1kuAfYVgrSki237%2faDrLrm1vEZEwe8kmCwVQ0BCtRArw%3d
IC1,ATTINY841-SSU,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,http://cz.farnell.com/atmel/attiny841-ssur/mcu-8bit-attiny-16mhz-wsoic-14/dp/2443189
L1,10u,Inductors:Inductor_Bourns-SRU8043,http://cz.farnell.com/bourns/sru8043-100y/choke-power-shielded-10uh/dp/1362119
L2,10u,Inductors:Inductor_Bourns-SRU8043,http://cz.farnell.com/bourns/sru8043-100y/choke-power-shielded-10uh/dp/1362119
Q1,VEMT3700-GS08,LEDs:LED_PLCC-2,http://cz.farnell.com/vishay/vemt3700-gs08/photo-transistor-npn-850nm-plcc/dp/2504152
Q2,NX2301P,TO_SOT_Packages_SMD:SOT-23,http://cz.farnell.com/nxp/nx2301p/mosfet-p-ch-20v-2a-sot23/dp/1894738
Q3,DMP2035U,TO_SOT_Packages_SMD:SOT-23,http://cz.farnell.com/diodes-inc/dmp2035u/mosfet-p-ch-esd-20v-3-6a-sot23/dp/2061419
Q4,DMP2035U,TO_SOT_Packages_SMD:SOT-23,http://cz.farnell.com/diodes-inc/dmp2035u/mosfet-p-ch-esd-20v-3-6a-sot23/dp/2061419
R1,8k2,Resistors_SMD:R_0603,
R10,220R,Resistors_SMD:R_0603,
R11,220R,Resistors_SMD:R_0603,
R12,10k,Resistors_SMD:R_0603,
R13,10k,Resistors_SMD:R_0603,
R14,0R056,Resistors_SMD:R_1206,http://cz.farnell.com/te-connectivity/rlp73n2br056jtd/resistor-r056-300ppm-0-5w/dp/2116422
R15,0R056,Resistors_SMD:R_1206,http://cz.farnell.com/te-connectivity/rlp73n2br056jtd/resistor-r056-300ppm-0-5w/dp/2116422
R16,1k,Resistors_SMD:R_0603,
R17,1k,Resistors_SMD:R_0603,
R18,18k,Resistors_SMD:R_0603,
R19,18k,Resistors_SMD:R_0603,
R2,10k,Resistors_SMD:R_0603,
R20,12k,Resistors_SMD:R_0603,
R21,12k,Resistors_SMD:R_0603,
R22,270k,Resistors_SMD:R_0603,
R23,270k,Resistors_SMD:R_0603,
R24,1k,Resistors_SMD:R_0603,
R25,1k,Resistors_SMD:R_0603,
R26,33R,Resistors_SMD:R_0603,
R3,10k,Resistors_SMD:R_0603,
R4,220R,Resistors_SMD:R_0603,
R5,10k,Resistors_SMD:R_0603,
R6,10k,Resistors_SMD:R_0603,
R7,8k2,Resistors_SMD:R_0603,
R8,10k,Resistors_SMD:R_0603,
R9,10k,Resistors_SMD:R_0603,
SW1,BT2,Buttons_Switches_SMD:SW_SPST_FSMSM,http://cz.farnell.com/alcoswitch-te-connectivity/1437566-3/pushbutton-switch-spst-0-05a-24v/dp/2468741
SW2,BT1,Buttons_Switches_SMD:SW_SPST_FSMSM,http://cz.farnell.com/alcoswitch-te-connectivity/1437566-3/pushbutton-switch-spst-0-05a-24v/dp/2468741
U1,ZXGD3001E6,TO_SOT_Packages_SMD:SOT-23-6,http://cz.farnell.com/diodes-inc/zxgd3001e6ta/driver-gate-bipolor-9a-peak/dp/1549138
U2,ZXGD3001E6,TO_SOT_Packages_SMD:SOT-23-6,http://cz.farnell.com/diodes-inc/zxgd3001e6ta/driver-gate-bipolor-9a-peak/dp/1549138
U3,TSV912,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,http://cz.farnell.com/stmicroelectronics/tsv912aiyst/op-amp-rrio-8mhz-4-5v-s-8/dp/1842603
U4,MCP6567,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,http://cz.farnell.com/microchip/mcp6567-e-ms/ic-comparator-dual-1-8v-8msop/dp/1834862
